"sample_name","phenotype_label","neighbor_phenotype_label","mean_distance_um","stderr_distance_um","region_label"
"MEL3","SOX10+ PDL1-","OTHER PDL1-",17.9048731308661,0.493425565416701,"Margin"
"MEL3","SOX10+ PDL1-","OTHER PDL1+",48.1343886884115,1.09749568954492,"Margin"
"MEL3","SOX10+ PDL1-","SOX10+ PDL1-",0,0,"Margin"
"MEL3","SOX10+ PDL1-","SOX10+ PDL1+",17.4086519135468,0.64786012225638,"Margin"
"MEL3","SOX10+ PDL1+","CD8+ PD1-",53.5203826593526,1.91116342346097,"Margin"
"MEL3","SOX10+ PDL1+","CD8+ PD1+",44.6305034781284,1.45534670579785,"Margin"
"MEL3","SOX10+ PDL1+","OTHER PDL1-",23.8118084113298,0.549858663036228,"Margin"
"MEL3","SOX10+ PDL1+","OTHER PDL1+",32.0898574824976,0.917337036370923,"Margin"
"MEL3","SOX10+ PDL1+","SOX10+ PDL1-",22.6602612151457,0.843718056611578,"Margin"
"MEL3","SOX10+ PDL1+","SOX10+ PDL1+",0,0,"Margin"
